SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Chhattisgarh,2005-01-01,57.6,15.6,6.1,6.5,16.4,197.0,393.8,267.7,240.5,83.5,1.6,1.0,1287.2,73.2,29.0,1099.0,86.1
Chhattisgarh,2006-01-01,2.7,0.0,26.2,17.2,23.5,92.2,495.1,447.2,184.6,13.3,15.1,0.7,1317.7,2.7,66.8,1219.0,29.1
Chhattisgarh,2007-01-01,0.0,15.7,6.2,11.4,10.4,259.4,309.9,338.8,259.1,67.8,2.0,0.5,1281.2,15.7,28.0,1167.2,70.3
Chhattisgarh,2008-01-01,6.7,9.7,22.2,11.2,9.5,236.4,280.5,305.1,215.4,10.7,1.2,0.0,1108.5,16.4,42.9,1037.4,11.8
Chhattisgarh,2009-01-01,1.2,0.0,2.3,1.9,11.2,45.3,455.0,247.1,104.7,43.6,42.5,1.9,956.6,1.2,15.4,852.0,88.0
Chhattisgarh,2010-01-01,7.9,4.9,1.0,5.9,12.6,102.6,426.8,340.3,302.5,54.3,20.2,27.6,1306.6,12.8,19.4,1172.2,102.1
Chhattisgarh,2011-01-01,0.3,11.5,2.6,35.0,16.8,183.5,272.6,379.8,382.2,15.5,0.0,2.8,1302.7,11.8,54.4,1218.2,18.3
Chhattisgarh,2012-01-01,36.6,4.8,1.1,14.9,9.4,147.3,430.6,442.2,245.3,19.8,20.4,5.0,1377.4,41.5,25.4,1265.4,45.1
Chhattisgarh,2013-01-01,2.8,19.7,4.9,45.8,5.7,263.6,418.8,336.6,140.9,180.9,0.3,0.0,1420.0,22.5,56.4,1159.9,181.2
Chhattisgarh,2014-01-01,2.3,29.0,21.4,17.3,25.0,104.9,416.7,327.7,252.7,77.9,2.6,1.1,1278.7,31.3,63.7,1102.1,81.6
Chhattisgarh,2015-01-01,15.8,1.2,21.2,37.0,13.0,257.6,248.6,286.6,216.9,17.7,0.6,1.5,1117.6,17.0,71.2,1009.7,19.7
Chhattisgarh,2016-01-01,6.1,3.6,24.5,4.4,19.6,164.2,361.0,357.1,295.6,79.8,0.0,0.0,1315.8,9.8,48.5,1177.8,79.8
Chhattisgarh,2017-01-01,0.9,0.7,3.5,0.8,15.6,184.8,378.3,300.4,177.7,61.6,0.2,0.0,1124.4,1.6,19.8,1041.2,61.8
